- ΟΤΕ - 
Ημ/νία,Κλείσιμο,ΜΕΤ.%,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Τζίρος
18/9/2020,"13,7800","0,5839%","13,52","13,83","13,52",1.092.899,"15.057.198,47"
17/9/2020,"13,7000","0,7353%","13,59","13,73","13,54",476.264,"6.495.662,23"
16/9/2020,"13,6000","-0,4392%","13,65","13,7","13,57",287.960,"3.921.493,59"
15/9/2020,"13,6600","0,4412%","13,57","13,79","13,56",501.645,"6.848.480,80"
14/9/2020,"13,6000","2,5641%","13,44","13,7","13,44",977.160,"13.290.965,73"
11/9/2020,"13,2600","-0,0754%","13,27","13,4","13,18",265.592,"3.533.434,28"
10/9/2020,"13,2700","1,4526%","13,24","13,27","13,04",380.869,"5.007.589,89"
09/9/2020,"13,0800","0,3837%","12,93","13,18","12,93",229.644,"3.007.344,13"
08/9/2020,"13,0300","-1,8825%","13,28","13,35","12,86",430.761,"5.619.246,02"
07/9/2020,"13,2800","0,3779%","13,3","13,49","13,28",668.475,"9.005.221,78"
04/9/2020,"13,2300","-3,6417%","13,73","13,73","13,23",823.077,"11.215.176,67"
03/9/2020,"13,7300","-1,8585%","13,99",14,"13,73",347.897,"4.794.743,03"
02/9/2020,"13,9900","2,4908%","13,65","13,99","13,63",465.432,"6.418.531,47"
01/9/2020,"13,6500","-0,3650%","13,72","13,75","13,64",463.605,"6.345.505,28"
31/8/2020,"13,7000","0,0000%","13,7","13,82","13,64",1.155.728,"15.834.005,38"
28/8/2020,"13,7000","0,0730%","13,6","13,73","13,58",545.730,"7.467.925,34"
27/8/2020,"13,6900","-0,0730%","13,6","13,69","13,59",735.030,"10.015.202,25"
26/8/2020,"13,7000","0,7353%","13,55","13,7","13,5",454.223,"6.194.163,60"
25/8/2020,"13,6000","0,1473%","13,58","13,68","13,48",500.424,"6.781.421,42"
24/8/2020,"13,5800","0,4438%","13,52","13,69","13,52",337.772,"4.593.905,48"
21/8/2020,"13,5200","-1,4577%","13,63","13,75","13,52",279.284,"3.797.250,16"
20/8/2020,"13,7200","0,2924%","13,56","13,72","13,4",212.237,"2.885.877,10"
19/8/2020,"13,6800","2,8571%","13,3","13,72","13,3",346.638,"4.696.397,17"
18/8/2020,"13,3000","-0,8942%","13,42","13,66","13,26",572.836,"7.656.763,78"
