- ΤΕΝΕΡΓ - 
Ημ/νία,Κλείσιμο,ΜΕΤ.%,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Τζίρος
18/9/2020,"11,7000","0,1712%","11,68","11,9","11,56",275.454,"3.221.831,30"
17/9/2020,"11,6800","-0,1709%","11,52","11,8","11,52",137.739,"1.609.227,98"
16/9/2020,"11,7000","1,2111%","11,56","11,82","11,46",105.894,"1.232.286,06"
15/9/2020,"11,5600","0,5217%","11,46","11,64","11,42",85.610,"987.565,18"
14/9/2020,"11,5000","-0,5190%","11,86","11,86","11,48",126.796,"1.469.302,74"
11/9/2020,"11,5600","-0,1727%","11,58","11,84","11,48",131.453,"1.519.166,87"
10/9/2020,"11,5800","-2,6891%","11,92","11,92","11,54",220.366,"2.568.845,73"
09/9/2020,"11,9000","-0,1678%","11,8","11,92","11,66",97.999,"1.157.756,96"
08/9/2020,"11,9200","-0,6667%","11,9","12,02","11,8",289.413,"3.426.174,08"
07/9/2020,"12,0000","0,5025%","12,18","12,18","11,96",97.280,"1.171.708,02"
04/9/2020,"11,9400","-0,5000%","11,84","11,98","11,8",166.280,"1.981.079,78"
03/9/2020,"12,0000","0,0000%","12,02","12,06","11,9",43.678,"524.441,88"
02/9/2020,"12,0000","0,8403%","11,9","12,04","11,8",90.424,"1.081.340,30"
01/9/2020,"11,9000","0,3373%","11,82","12,02","11,76",82.127,"976.653,20"
31/8/2020,"11,8600","0,0000%","11,8","12,04","11,7",119.014,"1.412.021,00"
28/8/2020,"11,8600","-0,6700%","11,86","11,94","11,8",129.132,"1.531.767,34"
27/8/2020,"11,9400","1,1864%","11,8","12,06","11,78",119.427,"1.424.589,30"
26/8/2020,"11,8000","4,4248%","11,24","11,8","11,18",128.658,"1.473.171,32"
25/8/2020,"11,3000","-2,2491%","11,58","11,68","11,22",106.182,"1.205.225,70"
24/8/2020,"11,5600","-0,5164%","11,6","11,7","11,54",91.902,"1.066.114,48"
21/8/2020,"11,6200","-0,5137%","11,56","11,62","11,46",119.194,"1.376.312,30"
20/8/2020,"11,6800","0,6897%","11,5","11,68","11,3",65.609,"754.179,42"
19/8/2020,"11,6000","-1,5280%","11,6","11,7","11,52",48.394,"562.583,44"
18/8/2020,"11,7800","0,0000%","11,78","11,8","11,5",65.943,"768.660,76"
